title,studio,year,genre_ids,id,original_language,original_title,popularity,release_date,vote_average,vote_count,movie_id,primary_title,start_year,runtime_minutes,genres
Unstoppable,Fox,2010,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,tt9499562,Unstoppable,2017,52.0,Documentary
Unstoppable,Fox,2010,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,tt9906218,Unstoppable,2019,84.0,Documentary
Unstoppable,Fox,2010,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,tt0477080,Unstoppable,2010,98.0,"Action,Thriller"
Unstoppable,Fox,2010,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,tt2951338,Unstoppable,2015,53.0,"Biography,Documentary,History"
Unstoppable,Fox,2010,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,tt3070502,Unstoppable,2013,65.0,Documentary
Unstoppable,Fox,2010,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,tt7098772,Unstoppable,2017,12.0,Documentary
Unstoppable,Fox,2010,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,tt9499562,Unstoppable,2017,52.0,Documentary
Unstoppable,Fox,2010,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,tt9906218,Unstoppable,2019,84.0,Documentary
The Book of Eli,WB,2010,"[28, 53, 878]",20504,en,The Book of Eli,18.985,2010-01-11,6.7,3495,tt1037705,The Book of Eli,2010,118.0,"Action,Adventure,Drama"
The Town,WB,2010,"[80, 18, 53]",23168,en,The Town,13.476,2010-09-17,7.1,2386,tt0840361,The Town,2010,125.0,"Crime,Drama,Thriller"
The Town,WB,2010,"[80, 18, 53]",23168,en,The Town,13.476,2010-09-17,7.1,2386,tt6259458,The Town,2012,101.0,Horror
Date Night,Fox,2010,[35],35056,en,Date Night,12.498,2010-04-08,6.0,1743,tt1279935,Date Night,2010,88.0,"Comedy,Crime,Romance"
Legend of the Guardians: The Owls of Ga'Hoole,WB,2010,"[16, 12, 10751, 14]",41216,en,Legend of the Guardians: The Owls of Ga'Hoole,10.754,2010-09-24,6.6,1223,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,2010,97.0,"Action,Adventure,Animation"
The Wolfman,Uni.,2010,[27],7978,en,The Wolfman,14.03,2010-02-12,5.7,1009,tt0780653,The Wolfman,2010,103.0,"Drama,Fantasy,Horror"
The Bounty Hunter,Sony,2010,"[28, 35, 18]",27573,en,The Bounty Hunter,9.861,2010-03-19,5.7,1627,tt1038919,The Bounty Hunter,2010,110.0,"Action,Comedy,Romance"
Wall Street: Money Never Sleeps,Fox,2010,"[18, 80]",33909,en,Wall Street: Money Never Sleeps,10.177,2010-09-20,6.0,797,tt1027718,Wall Street: Money Never Sleeps,2010,133.0,Drama
The Fighter,Par.,2010,[18],45317,en,The Fighter,10.395,2010-12-17,7.3,2325,tt0964517,The Fighter,2010,116.0,"Biography,Drama,Sport"
Predators,Fox,2010,"[28, 878, 12, 53]",34851,en,Predators,16.216,2010-07-03,6.1,1979,tt1424381,Predators,2010,107.0,"Action,Adventure,Sci-Fi"
Dear John,SGem,2010,"[18, 10749, 10752]",22971,en,Dear John,12.048,2010-02-04,6.8,2676,tt0989757,Dear John,2010,108.0,"Drama,Romance,War"
Cats & Dogs: The Revenge of Kitty Galore,WB,2010,"[35, 10751, 28, 14]",39691,en,Cats & Dogs: The Revenge of Kitty Galore,10.544,2010-07-30,4.9,273,tt1287468,Cats & Dogs: The Revenge of Kitty Galore,2010,82.0,"Action,Comedy,Family"
Tooth Fairy,Fox,2010,"[35, 10751, 14]",23023,en,Tooth Fairy,12.65,2010-01-22,5.3,1058,tt0808510,Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy"
Hereafter,WB,2010,"[18, 14]",44603,en,Hereafter,7.886,2010-10-22,5.9,848,tt1212419,Hereafter,2010,129.0,"Drama,Fantasy,Romance"
The Girl with the Dragon Tattoo,MBox,2010,"[53, 80, 9648, 18]",65754,en,The Girl with the Dragon Tattoo,17.823,2011-12-14,7.3,3971,tt1568346,The Girl with the Dragon Tattoo,2011,158.0,"Crime,Drama,Mystery"
Killers,LGF,2010,"[28, 35, 53, 10749]",37821,en,Killers,10.221,2010-06-04,5.8,1314,tt1103153,Killers,2010,100.0,"Action,Comedy,Romance"
Killers,LGF,2010,"[28, 35, 53, 10749]",37821,en,Killers,10.221,2010-06-04,5.8,1314,tt2409300,Killers,2014,137.0,"Action,Crime,Drama"
Kick-Ass,LGF,2010,"[28, 80]",23483,en,Kick-Ass,13.08,2010-04-16,7.1,7540,tt1250777,Kick-Ass,2010,117.0,"Action,Comedy"
Green Zone,Uni.,2010,"[10752, 28, 12, 18, 53]",22972,en,Green Zone,11.519,2010-03-11,6.4,1176,tt0947810,Green Zone,2010,115.0,"Action,Drama,Thriller"
Get Him to the Greek,Uni.,2010,[35],32823,en,Get Him to the Greek,8.485,2010-06-04,5.9,980,tt1226229,Get Him to the Greek,2010,109.0,"Adventure,Comedy,Music"
Burlesque,SGem,2010,"[18, 10749]",42297,en,Burlesque,8.676,2010-11-23,7.1,1195,tt1126591,Burlesque,2010,119.0,"Drama,Music,Musical"
The Last Song,BV,2010,"[18, 10751, 10749]",35690,en,The Last Song,9.237,2010-03-31,7.2,2199,tt1294226,The Last Song,2010,107.0,"Drama,Music,Romance"
Dinner for Schmucks,P/DW,2010,[35],38778,en,Dinner for Schmucks,6.632,2010-07-30,5.6,920,tt0427152,Dinner for Schmucks,2010,114.0,Comedy
Marmaduke,Fox,2010,"[10751, 35]",38579,en,Marmaduke,8.487,2010-06-04,5.1,367,tt1392197,Marmaduke,2010,87.0,"Comedy,Family"
Piranha 3D,W/Dim.,2010,"[35, 27]",43593,en,Piranha 3D,11.302,2010-08-20,5.3,1029,tt0464154,Piranha 3D,2010,88.0,"Comedy,Horror"
Edge of Darkness,WB,2010,"[80, 18, 9648, 53]",12201,en,Edge of Darkness,11.252,2010-01-29,6.3,794,tt1226273,Edge of Darkness,2010,117.0,"Crime,Drama,Mystery"
Edge of Darkness,WB,2010,[99],468788,en,Edge of Darkness,0.6,2015-11-01,7.0,1,tt1226273,Edge of Darkness,2010,117.0,"Crime,Drama,Mystery"
Vampires Suck,Fox,2010,"[35, 27]",40264,en,Vampires Suck,8.992,2010-08-18,4.1,658,tt1666186,Vampires Suck,2010,82.0,Comedy
Letters to Juliet,Sum.,2010,"[35, 18, 10749]",37056,en,Letters to Juliet,9.394,2010-05-14,6.9,1706,tt0892318,Letters to Juliet,2010,105.0,"Adventure,Comedy,Drama"
Diary of a Wimpy Kid,Fox,2010,"[35, 10751]",33217,en,Diary of a Wimpy Kid,12.256,2010-03-19,6.0,736,tt1196141,Diary of a Wimpy Kid,2010,94.0,"Comedy,Drama,Family"
